City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,mabaruma,8.2,-59.7833,22.07,97,88,0.94,GY,1670292608
199,hasaki,35.7333,140.8333,7.9,86,100,9.51,JP,1670292608
200,vila do maio,15.1333,-23.2167,21.44,68,22,2.99,CV,1670292609
201,tadine,-21.55,167.8833,28.43,74,89,4.89,NC,1670292609
202,kindu,-2.95,25.95,19.71,99,100,0.26,CD,1670292610
203,itaituba,-4.2761,-55.9836,23.47,95,99,0.48,BR,1670292610
204,vanimo,-2.6741,141.3028,26.95,84,100,1.22,PG,1670292611
205,keti bandar,24.1447,67.4497,20.5,32,0,3.81,PK,1670292611
206,sioux lookout,50.1001,-91.917,-23.93,96,35,1.11,CA,1670292612
207,beloha,-25.1667,45.05,24.46,69,7,2.66,MG,1670292612
208,banjar,-8.19,114.9675,30.48,63,100,1.17,ID,1670292613
209,goranboy,40.6103,46.7897,1.16,90,93,1.08,AZ,1670292613
210,tondano,1.3038,124.9112,25.05,90,100,1.05,ID,1670292614
211,santa isabel do rio negro,-0.4139,-65.0192,24.64,89,100,1.06,BR,1670292614
212,lucapa,-8.4192,20.7447,16.01,97,74,0.63,AO,1670292615
213,tiznit,29.5833,-9.5,13.76,86,100,0.66,MA,1670292615
214,camacha,33.0833,-16.3333,15.68,77,20,1.03,PT,1670292616
215,katsuura,35.1333,140.3,8.98,91,100,8.73,JP,1670292616
216,hornepayne,49.2138,-84.7705,-15.3,91,100,2.76,CA,1670292617
217,ornskoldsvik,63.2909,18.7153,-1.47,93,7,3.09,SE,1670292617
218,nanakuli,21.3906,-158.1547,26.97,57,100,3.6,US,1670292618
219,esperance,-33.8667,121.9,18.46,70,97,5.53,AU,1670292618
220,potiskum,11.7091,11.0694,18.76,22,19,4.07,NG,1670292618
221,dudinka,69.4058,86.1778,-3.54,94,100,7.29,RU,1670292619
222,kahului,20.8947,-156.47,28.01,71,40,1.54,US,1670292619
223,dongsheng,39.8161,109.9776,-7.35,37,4,2.03,CN,1670292620
224,severo-kurilsk,50.6789,156.125,-3.72,75,90,7.96,RU,1670292539
225,college,64.8569,-147.8028,-5.06,91,100,0.0,US,1670292620
226,mahebourg,-20.4081,57.7,23.47,79,45,6.96,MU,1670292621
227,hit,33.6416,42.8251,13.12,56,5,1.82,IQ,1670292621
228,bima,-8.4667,118.7167,31.63,61,90,0.08,ID,1670292622
229,talakan,50.3167,130.3667,-16.08,89,100,2.66,RU,1670292622
230,natal,-5.795,-35.2094,26.36,78,40,5.66,BR,1670292502
231,san cristobal,7.7669,-72.225,18.1,98,46,1.53,VE,1670292623
232,nizhniy tsasuchey,50.5167,115.1333,-8.63,64,100,9.01,RU,1670292623
233,elko,41.0002,-115.5012,-2.99,94,97,0.24,US,1670292431
234,bassar,9.25,0.7833,23.98,26,94,2.1,TG,1670292624
235,benghazi,32.1167,20.0667,18.5,50,41,3.35,LY,1670292624
236,alta floresta,-9.8756,-56.0861,20.99,99,98,1.14,BR,1670292625
237,sinnamary,5.3833,-52.95,24.93,90,86,3.93,GF,1670292625
238,venice,27.0998,-82.4543,21.66,89,0,0.0,US,1670292626
